updnLine,dow,hh,mm,congestionCar1,congestionCar2,congestionCar3,congestionCar4,congestionCar5,congestionCar6,congestionCar7,congestionCar8,congestionCar9,congestionCar10
1,WED,18,20,0,0,0,0,0,0,0,0,0,0
1,WED,18,30,0,0,0,0,0,0,0,0,0,0
1,WED,18,40,0,0,0,0,0,0,0,0,0,0
1,WED,18,50,0,0,0,0,0,0,0,0,0,0
1,WED,18,00,0,0,0,0,0,0,0,0,0,0
1,WED,18,10,0,0,0,0,0,0,0,0,0,0
1,WED,18,20,0,0,0,0,0,0,0,0,0,0
1,WED,18,30,0,0,0,0,0,0,0,0,0,0
1,WED,18,40,14,16,16,16,15,16,19,19,16,15
1,WED,18,50,28,29,31,34,31,34,38,39,25,32
1,WED,18,00,0,0,0,0,0,0,0,0,0,0
1,WED,18,10,0,0,0,0,0,0,0,0,0,0
1,WED,18,20,0,0,0,0,0,0,0,0,0,0
1,WED,18,30,0,0,0,0,0,0,0,0,0,0
1,WED,18,40,0,0,0,0,0,0,0,0,0,0
1,WED,18,50,0,0,0,0,0,0,0,0,0,0
0,WED,18,00,0,0,0,0,0,0,0,0,0,0
0,WED,18,10,0,0,0,0,0,0,0,0,0,0
0,WED,18,20,0,0,0,0,0,0,0,0,0,0
0,WED,18,30,0,0,0,0,0,0,0,0,0,0
0,WED,18,40,0,0,0,0,0,0,0,0,0,0
0,WED,18,50,0,0,0,0,0,0,0,0,0,0
0,WED,18,00,56,76,63,64,63,75,67,66,48,41
0,WED,18,10,78,74,81,72,74,76,83,81,53,58
0,WED,18,20,81,94,96,92,104,109,114,91,81,78
0,WED,18,30,71,83,89,89,73,78,92,83,66,66
0,WED,18,40,47,51,58,56,51,56,64,63,44,50
0,WED,18,50,38,43,44,43,42,46,55,46,35,39
0,WED,18,00,0,0,0,0,0,0,0,0,0,0
0,WED,18,10,0,0,0,0,0,0,0,0,0,0
0,WED,18,20,0,0,0,0,0,0,0,0,0,0
0,WED,18,30,0,0,0,0,0,0,0,0,0,0
0,WED,18,40,0,0,0,0,0,0,0,0,0,0
0,WED,18,50,0,0,0,0,0,0,0,0,0,0
0,WED,18,00,0,0,0,0,0,0,0,0,0,0
0,WED,18,10,0,0,0,0,0,0,0,0,0,0
0,WED,18,20,0,0,0,0,0,0,0,0,0,0
0,WED,18,30,0,0,0,0,0,0,0,0,0,0
0,WED,18,40,0,0,0,0,0,0,0,0,0,0
0,WED,18,50,0,0,0,0,0,0,0,0,0,0
0,WED,18,00,85,115,96,97,95,114,102,100,73,62
0,WED,18,10,101,95,104,93,95,98,106,104,69,75
0,WED,18,20,104,121,124,119,134,140,147,117,104,101
0,WED,18,30,109,127,136,136,111,120,142,127,101,102
0,WED,18,40,53,58,65,63,58,64,72,71,49,57
0,WED,18,50,0,0,0,0,0,0,0,0,0,0
0,WED,18,00,0,0,0,0,0,0,0,0,0,0
0,WED,18,10,0,0,0,0,0,0,0,0,0,0
0,WED,18,20,0,0,0,0,0,0,0,0,0,0
0,WED,18,30,0,0,0,0,0,0,0,0,0,0
0,WED,18,40,0,0,0,0,0,0,0,0,0,0
0,WED,18,50,0,0,0,0,0,0,0,0,0,0
0,WED,18,00,0,0,0,0,0,0,0,0,0,0
0,WED,18,10,0,0,0,0,0,0,0,0,0,0
0,WED,18,20,0,0,0,0,0,0,0,0,0,0
0,WED,18,30,0,0,0,0,0,0,0,0,0,0
0,WED,18,40,0,0,0,0,0,0,0,0,0,0
0,WED,18,50,0,0,0,0,0,0,0,0,0,0
0,THU,18,00,0,0,0,0,0,0,0,0,0,0
0,THU,18,10,0,0,0,0,0,0,0,0,0,0
0,THU,18,20,0,0,0,0,0,0,0,0,0,0
0,THU,18,30,0,0,0,0,0,0,0,0,0,0
0,THU,18,40,0,0,0,0,0,0,0,0,0,0
0,THU,18,50,0,0,0,0,0,0,0,0,0,0
0,THU,18,00,0,0,0,0,0,0,0,0,0,0
0,THU,18,10,0,0,0,0,0,0,0,0,0,0
0,THU,18,20,0,0,0,0,0,0,0,0,0,0
0,THU,18,30,0,0,0,0,0,0,0,0,0,0
0,THU,18,40,0,0,0,0,0,0,0,0,0,0
0,THU,18,50,0,0,0,0,0,0,0,0,0,0
1,THU,18,00,0,0,0,0,0,0,0,0,0,0
1,THU,18,10,0,0,0,0,0,0,0,0,0,0
1,THU,18,20,0,0,0,0,0,0,0,0,0,0
1,THU,18,30,0,0,0,0,0,0,0,0,0,0
1,THU,18,40,0,0,0,0,0,0,0,0,0,0
1,THU,18,50,0,0,0,0,0,0,0,0,0,0
0,THU,18,00,0,0,0,0,0,0,0,0,0,0
0,THU,18,10,0,0,0,0,0,0,0,0,0,0
0,THU,18,20,0,0,0,0,0,0,0,0,0,0
0,THU,18,30,0,0,0,0,0,0,0,0,0,0
0,THU,18,40,0,0,0,0,0,0,0,0,0,0
0,THU,18,50,0,0,0,0,0,0,0,0,0,0
1,THU,18,00,32,38,43,38,32,35,43,38,37,35
1,THU,18,10,65,75,77,83,71,82,78,76,80,74
1,THU,18,20,65,69,72,77,74,74,84,79,78,89
1,THU,18,30,62,70,74,92,78,69,92,95,76,91
1,THU,18,40,59,65,66,68,63,66,78,78,65,61
1,THU,18,50,39,40,44,47,44,47,53,54,36,46
0,THU,18,00,53,72,60,61,60,72,64,63,46,39
0,THU,18,10,83,78,85,76,78,81,87,85,56,61
0,THU,18,20,80,93,95,91,103,107,113,90,80,78
0,THU,18,30,74,86,92,92,75,81,96,86,69,69
0,THU,18,40,53,59,66,64,59,65,73,72,50,58
0,THU,18,50,43,49,50,49,47,52,63,53,40,44
1,THU,18,00,41,48,55,48,40,44,55,48,47,44
1,THU,18,10,39,45,47,50,43,49,47,46,49,45
1,THU,18,20,41,43,45,49,46,47,53,50,49,56
1,THU,18,30,42,47,50,62,53,47,62,64,51,61
1,THU,18,40,37,41,41,43,39,42,49,49,41,38
1,THU,18,50,42,44,48,52,48,51,58,59,39,50
1,THU,18,00,0,0,0,0,0,0,0,0,0,0
1,THU,18,10,0,0,0,0,0,0,0,0,0,0
1,THU,18,20,0,0,0,0,0,0,0,0,0,0
1,THU,18,30,0,0,0,0,0,0,0,0,0,0
1,THU,18,40,0,0,0,0,0,0,0,0,0,0
1,THU,18,50,0,0,0,0,0,0,0,0,0,0
1,THU,18,00,0,0,0,0,0,0,0,0,0,0
1,THU,18,10,0,0,0,0,0,0,0,0,0,0
1,THU,18,20,0,0,0,0,0,0,0,0,0,0
1,THU,18,30,0,0,0,0,0,0,0,0,0,0
1,THU,18,40,0,0,0,0,0,0,0,0,0,0
1,THU,18,50,0,0,0,0,0,0,0,0,0,0
1,THU,18,00,0,0,0,0,0,0,0,0,0,0
1,THU,18,10,0,0,0,0,0,0,0,0,0,0
1,THU,18,20,0,0,0,0,0,0,0,0,0,0
1,THU,18,30,0,0,0,0,0,0,0,0,0,0
1,THU,18,40,19,20,21,21,20,21,25,25,20,19
1,THU,18,50,36,38,41,44,41,44,49,51,33,42
1,THU,18,00,0,0,0,0,0,0,0,0,0,0
1,THU,18,10,0,0,0,0,0,0,0,0,0,0
1,THU,18,20,0,0,0,0,0,0,0,0,0,0
1,THU,18,30,0,0,0,0,0,0,0,0,0,0
1,THU,18,40,0,0,0,0,0,0,0,0,0,0
1,THU,18,50,0,0,0,0,0,0,0,0,0,0
0,THU,18,00,0,0,0,0,0,0,0,0,0,0
0,THU,18,10,0,0,0,0,0,0,0,0,0,0
0,THU,18,20,0,0,0,0,0,0,0,0,0,0
0,THU,18,30,0,0,0,0,0,0,0,0,0,0
0,THU,18,40,0,0,0,0,0,0,0,0,0,0
0,THU,18,50,0,0,0,0,0,0,0,0,0,0
0,THU,18,00,52,71,59,60,59,70,63,62,45,38
0,THU,18,10,85,80,87,78,80,83,89,88,58,63
0,THU,18,20,86,100,102,98,111,116,121,96,86,83
0,THU,18,30,73,85,91,91,75,80,95,85,68,68
0,THU,18,40,52,57,64,62,57,63,71,70,49,56
0,THU,18,50,42,48,49,48,46,51,61,52,39,43
0,THU,18,00,0,0,0,0,0,0,0,0,0,0
0,THU,18,10,0,0,0,0,0,0,0,0,0,0
0,THU,18,20,0,0,0,0,0,0,0,0,0,0
0,THU,18,30,0,0,0,0,0,0,0,0,0,0
0,THU,18,40,0,0,0,0,0,0,0,0,0,0
0,THU,18,50,0,0,0,0,0,0,0,0,0,0
0,THU,18,00,0,0,0,0,0,0,0,0,0,0
0,THU,18,10,0,0,0,0,0,0,0,0,0,0
0,THU,18,20,0,0,0,0,0,0,0,0,0,0
0,THU,18,30,0,0,0,0,0,0,0,0,0,0
0,THU,18,40,0,0,0,0,0,0,0,0,0,0
0,THU,18,50,0,0,0,0,0,0,0,0,0,0
0,THU,18,00,43,59,49,50,49,58,52,51,38,32
0,THU,18,10,103,97,106,95,97,100,109,106,70,77
0,THU,18,20,110,127,130,125,141,147,154,122,109,106
0,THU,18,30,57,66,71,71,58,62,74,66,53,53
0,THU,18,40,0,0,0,0,0,0,0,0,0,0
0,THU,18,50,0,0,0,0,0,0,0,0,0,0
0,THU,18,00,0,0,0,0,0,0,0,0,0,0
0,THU,18,10,0,0,0,0,0,0,0,0,0,0
0,THU,18,20,0,0,0,0,0,0,0,0,0,0
0,THU,18,30,0,0,0,0,0,0,0,0,0,0
0,THU,18,40,0,0,0,0,0,0,0,0,0,0
0,THU,18,50,0,0,0,0,0,0,0,0,0,0
0,THU,18,00,0,0,0,0,0,0,0,0,0,0
0,THU,18,10,0,0,0,0,0,0,0,0,0,0
0,THU,18,20,0,0,0,0,0,0,0,0,0,0
0,THU,18,30,0,0,0,0,0,0,0,0,0,0
0,THU,18,40,0,0,0,0,0,0,0,0,0,0
0,THU,18,50,0,0,0,0,0,0,0,0,0,0
0,FRI,18,00,0,0,0,0,0,0,0,0,0,0
0,FRI,18,10,0,0,0,0,0,0,0,0,0,0
0,FRI,18,20,0,0,0,0,0,0,0,0,0,0
0,FRI,18,30,0,0,0,0,0,0,0,0,0,0
0,FRI,18,40,0,0,0,0,0,0,0,0,0,0
0,FRI,18,50,0,0,0,0,0,0,0,0,0,0
0,FRI,18,00,0,0,0,0,0,0,0,0,0,0
0,FRI,18,10,0,0,0,0,0,0,0,0,0,0
0,FRI,18,20,0,0,0,0,0,0,0,0,0,0
0,FRI,18,30,0,0,0,0,0,0,0,0,0,0
0,FRI,18,40,0,0,0,0,0,0,0,0,0,0
0,FRI,18,50,0,0,0,0,0,0,0,0,0,0
1,FRI,18,00,0,0,0,0,0,0,0,0,0,0
1,FRI,18,10,0,0,0,0,0,0,0,0,0,0
1,FRI,18,20,0,0,0,0,0,0,0,0,0,0
1,FRI,18,30,0,0,0,0,0,0,0,0,0,0
1,FRI,18,40,0,0,0,0,0,0,0,0,0,0
1,FRI,18,50,0,0,0,0,0,0,0,0,0,0
0,FRI,18,00,0,0,0,0,0,0,0,0,0,0
0,FRI,18,10,0,0,0,0,0,0,0,0,0,0
0,FRI,18,20,0,0,0,0,0,0,0,0,0,0
0,FRI,18,30,0,0,0,0,0,0,0,0,0,0
0,FRI,18,40,0,0,0,0,0,0,0,0,0,0
0,FRI,18,50,0,0,0,0,0,0,0,0,0,0
1,FRI,18,00,44,52,60,52,44,48,59,52,51,48
1,FRI,18,10,80,92,95,103,87,101,97,94,99,92
1,FRI,18,20,75,80,83,89,85,85,98,92,90,103
1,FRI,18,30,53,60,63,78,66,59,78,81,65,77
1,FRI,18,40,66,72,72,75,69,73,86,86,72,68
1,FRI,18,50,41,43,47,50,47,50,57,58,38,49
0,FRI,18,00,62,83,69,70,69,82,74,73,53,45
0,FRI,18,10,79,75,82,73,75,77,84,82,54,59
0,FRI,18,20,90,104,106,102,115,120,126,100,89,87
0,FRI,18,30,80,93,100,100,82,88,104,93,74,75
0,FRI,18,40,48,53,60,58,53,58,66,65,45,52
0,FRI,18,50,50,58,58,56,55,61,73,61,46,51
1,FRI,18,00,49,58,67,59,49,54,66,58,57,54
1,FRI,18,10,38,44,46,49,42,48,46,45,48,44
1,FRI,18,20,37,39,41,43,42,42,48,45,44,50
1,FRI,18,30,51,57,60,75,63,56,74,77,62,74
1,FRI,18,40,45,50,50,52,48,50,60,60,50,47
1,FRI,18,50,37,39,42,45,42,45,51,52,34,43
1,FRI,18,00,0,0,0,0,0,0,0,0,0,0
1,FRI,18,10,0,0,0,0,0,0,0,0,0,0
1,FRI,18,20,0,0,0,0,0,0,0,0,0,0
1,FRI,18,30,0,0,0,0,0,0,0,0,0,0
1,FRI,18,40,0,0,0,0,0,0,0,0,0,0
1,FRI,18,50,0,0,0,0,0,0,0,0,0,0
1,FRI,18,00,0,0,0,0,0,0,0,0,0,0
1,FRI,18,10,0,0,0,0,0,0,0,0,0,0
1,FRI,18,20,0,0,0,0,0,0,0,0,0,0
1,FRI,18,30,0,0,0,0,0,0,0,0,0,0
1,FRI,18,40,0,0,0,0,0,0,0,0,0,0
1,FRI,18,50,0,0,0,0,0,0,0,0,0,0
1,FRI,18,00,0,0,0,0,0,0,0,0,0,0
1,FRI,18,10,0,0,0,0,0,0,0,0,0,0
1,FRI,18,20,0,0,0,0,0,0,0,0,0,0
1,FRI,18,30,0,0,0,0,0,0,0,0,0,0
1,FRI,18,40,0,0,0,0,0,0,0,0,0,0
1,FRI,18,50,16,17,18,20,19,20,22,23,15,19
1,FRI,18,00,0,0,0,0,0,0,0,0,0,0
1,FRI,18,10,0,0,0,0,0,0,0,0,0,0
1,FRI,18,20,0,0,0,0,0,0,0,0,0,0
1,FRI,18,30,0,0,0,0,0,0,0,0,0,0
1,FRI,18,40,0,0,0,0,0,0,0,0,0,0
1,FRI,18,50,0,0,0,0,0,0,0,0,0,0
0,FRI,18,00,0,0,0,0,0,0,0,0,0,0
0,FRI,18,10,0,0,0,0,0,0,0,0,0,0
0,FRI,18,20,0,0,0,0,0,0,0,0,0,0
0,FRI,18,30,0,0,0,0,0,0,0,0,0,0
0,FRI,18,40,0,0,0,0,0,0,0,0,0,0
0,FRI,18,50,0,0,0,0,0,0,0,0,0,0
0,FRI,18,00,58,79,65,66,65,78,70,68,50,42
0,FRI,18,10,84,79,86,77,79,82,88,86,57,62
0,FRI,18,20,93,108,110,106,120,125,131,104,93,90
0,FRI,18,30,79,92,99,99,81,87,103,92,74,74
0,FRI,18,40,47,51,58,56,51,56,64,63,44,50
0,FRI,18,50,48,55,55,54,52,58,69,58,44,49
0,FRI,18,00,0,0,0,0,0,0,0,0,0,0
0,FRI,18,10,0,0,0,0,0,0,0,0,0,0
0,FRI,18,20,0,0,0,0,0,0,0,0,0,0
0,FRI,18,30,0,0,0,0,0,0,0,0,0,0
0,FRI,18,40,0,0,0,0,0,0,0,0,0,0
0,FRI,18,50,0,0,0,0,0,0,0,0,0,0
0,FRI,18,00,0,0,0,0,0,0,0,0,0,0
0,FRI,18,10,0,0,0,0,0,0,0,0,0,0
0,FRI,18,20,0,0,0,0,0,0,0,0,0,0
0,FRI,18,30,0,0,0,0,0,0,0,0,0,0
0,FRI,18,40,0,0,0,0,0,0,0,0,0,0
0,FRI,18,50,0,0,0,0,0,0,0,0,0,0
0,FRI,18,00,44,60,50,51,50,59,53,52,38,32
0,FRI,18,10,105,99,108,97,99,103,111,109,72,78
0,FRI,18,20,110,128,131,126,142,148,155,123,110,107
0,FRI,18,30,57,66,71,71,58,62,74,66,53,53
0,FRI,18,40,0,0,0,0,0,0,0,0,0,0
0,FRI,18,50,0,0,0,0,0,0,0,0,0,0
0,FRI,18,00,0,0,0,0,0,0,0,0,0,0
0,FRI,18,10,0,0,0,0,0,0,0,0,0,0
0,FRI,18,20,0,0,0,0,0,0,0,0,0,0
0,FRI,18,30,0,0,0,0,0,0,0,0,0,0
0,FRI,18,40,0,0,0,0,0,0,0,0,0,0
0,FRI,18,50,0,0,0,0,0,0,0,0,0,0
0,FRI,18,00,0,0,0,0,0,0,0,0,0,0
0,FRI,18,10,0,0,0,0,0,0,0,0,0,0
0,FRI,18,20,0,0,0,0,0,0,0,0,0,0
0,FRI,18,30,0,0,0,0,0,0,0,0,0,0
0,FRI,18,40,0,0,0,0,0,0,0,0,0,0
0,FRI,18,50,0,0,0,0,0,0,0,0,0,0
